Route ID,Name,Mean Score,Robustness (Rr),AB Stability (%),DE Stability (%),Primary Driver
560,560 — Spruce Grove - Downtown Edmonton,85.56,18.73,86.3%,1.2%,Monopoly
589,589 — Edmonton Waste Management Centre - Coliseum,43.17,28.15,31.7%,45.8%,Temporal
700X,700X — Century Park - Heritage Valley,31.72,18.93,7.8%,62.2%,Temporal
701,701 — Southgate - Kingsway,68.8,22.44,65.4%,3.3%,Opportunity
702,702 — Southgate - South Campus,30.99,17.43,5.8%,64.4%,Temporal
703,703 — Leger - South Campus,27.79,10.94,0.1%,71.0%,Temporal
704,704 — Southgate - Southpark,62.7,22.31,63.9%,5.1%,Temporal
705,705 — Century Park - Southgate,47.26,18.05,24.5%,14.5%,Temporal
706,706 — Leger - Southgate,54.24,25.33,47.4%,19.6%,Temporal
707,707 — Century Park - Southgate,72.68,20.25,71.2%,0.2%,Monopoly
708,708 — Century Park - Southgate,78.99,19.59,85.6%,0.2%,Monopoly
709,709 — Century Park - Southgate,39.95,16.8,11.0%,35.3%,Temporal
712,712 — Century Park - Yellowbird,38.33,11.56,13.1%,34.6%,Monopoly
713,713 — Century Park - Twin Brooks,66.88,23.27,64.6%,9.5%,Monopoly
715,715 — Leger - Century Park,92.86,12.83,97.7%,0.2%,Monopoly
716,716 — Leger - Century Park,60.34,15.05,67.8%,0.0%,Temporal
717,717 — Leger - Century Park,84.37,15.39,90.4%,0.0%,Vulnerability
718,718 — Leger - Century Park,50.9,18.1,33.1%,15.3%,Vulnerability
719,719 — Century Park - Chappelle,29.97,9.33,0.1%,60.9%,Temporal
721,721 — Century Park - Rutherford - Desrochers,41.32,14.32,11.6%,29.4%,Vulnerability
722,722 — Century Park - Rutherford - Allard,48.12,18.01,28.9%,21.5%,Vulnerability
723,723 — University - Parkallen,15.28,4.97,0.1%,98.8%,Opportunity
724,724 — Leger - Brander Gardens - South Campus,30.5,17.63,17.1%,58.0%,Vulnerability
727,727 — Heritage Valley - Chappelle,19.15,8.14,1.3%,83.8%,Vulnerability
729,729 — Leger - Century Park,36.39,12.36,3.4%,40.3%,Temporal
747,747 — Century Park - Edmonton International Airport,47.7,27.08,37.5%,35.3%,Temporal
900X,900X — Lewis Farms - Downtown,80.82,21.89,83.0%,3.0%,Opportunity
901,901 — Jasper Place - Downtown,84.67,16.3,96.9%,0.0%,Opportunity
902,902 — Nait - University,83.79,2.84,100.0%,0.0%,Opportunity
903,903 — Jasper Place - Kingsway,57.05,20.16,49.0%,9.3%,Opportunity
904,904 — West Edmonton Mall - Westmount,24.11,12.45,2.3%,72.2%,Opportunity
905,905 — Northgate - Westmount,28.72,15.37,11.6%,62.9%,Opportunity
906,906 — West Edmonton Mall - Westmount,40.27,24.03,30.2%,45.3%,Opportunity
907,907 — West Edmonton Mall - Westmount,64.95,20.94,61.2%,2.7%,Opportunity
908,908 — Jasper Place - Westmount,30.52,23.26,18.0%,64.1%,Opportunity
909,909 — Jasper Place - Westmount,51.48,16.94,36.4%,7.1%,Temporal
910X,910X — West Lymburn - Lessard - South Campus,22.02,12.92,3.7%,77.9%,Vulnerability
912,912 — Lewis Farms - Jasper Place,54.48,26.6,49.3%,23.1%,Temporal
913,913 — West Edmonton Mall - Jamieson Place,76.66,17.5,78.4%,0.0%,Monopoly
914,914 — West Edmonton Mall - Jasper Place,83.55,5.57,100.0%,0.0%,Temporal
915,915 — West Edmonton Mall - Jasper Place,43.08,9.57,15.4%,9.9%,Opportunity
916,916 — West Edmonton Mall - Lewis Farms,74.06,12.61,91.4%,0.0%,Vulnerability
917,917 — West Edmonton Mall - Lewis Farms,79.8,11.28,93.6%,0.0%,Monopoly
918,918 — West Edmonton Mall - Lessard,55.87,16.76,53.6%,2.1%,Temporal
919,919 — Lewis Farms - Secord,26.74,14.25,10.0%,70.7%,Monopoly
920X,920X — Lewis Farms - University Express,23.98,10.1,0.9%,72.4%,Opportunity
921,921 — Jasper Place - Westview Village,69.62,20.44,75.1%,5.9%,Temporal
922,922 — Lewis Farms - Rosenthal,36.28,17.67,16.0%,49.1%,Monopoly
923,923 — West Edmonton Mall - Oleskiw,58.72,23.85,56.1%,10.4%,Temporal
924,924 — Jasper Place - Rio Terrace,48.5,19.85,43.0%,26.5%,Monopoly
925,925 — West Edmonton Mall - Jasper Place,40.85,20.51,28.1%,38.5%,Opportunity
926,926 — Lewis Farms - Stillwater,47.39,22.5,32.6%,27.2%,Temporal
930X,930X — The Grange - South Campus,24.82,16.47,8.9%,71.7%,Vulnerability
A12,A12 — Campbell - Akinsdale,7.41,2.28,0.1%,99.9%,Monopoly
A13,A13 — Akinsdale - Campbell,7.39,2.28,0.1%,99.9%,Monopoly
A14,A14 — Sturgeon Hospital - St Albert North,27.53,22.12,10.3%,69.1%,Temporal
A21,A21 — Heritage Lakes - Riel,8.23,2.33,0.1%,99.9%,Monopoly
A22,A22 — Riel - Heritage Lakes,7.75,2.28,0.1%,99.9%,Monopoly
A23,A23 — Heritage Lakes - Riel,7.83,2.28,0.1%,99.9%,Monopoly
A24,A24 — The Gardens,7.63,2.27,0.1%,99.9%,Monopoly
A3,A3 — Riverside,6.48,2.46,0.1%,99.9%,Monopoly
A31,A31 — Heritage Lakes - The Gardens,8.66,2.44,0.1%,99.9%,Monopoly
A32,A32 — Akinsdale - Campbell - Pineview - Forest Lawn,9.29,2.72,0.1%,99.9%,Vulnerability
A33,A33 — Sturgeon - Forest Lawn - Woodlands - Braeside,11.66,5.21,0.7%,96.6%,Monopoly
A4,A4 — Lacombe - Deer Ridge,9.53,2.85,0.1%,99.9%,Vulnerability
A5,A5 — Deer Ridge - Lacombe,9.56,2.88,0.1%,99.9%,Vulnerability
A6,A6 — Deer Ridge - North Ridge,45.61,32.1,37.0%,45.6%,Monopoly
A7,A7 — Sturgeon Hospital - Erin Ridge - Oakmont,8.04,2.3,0.1%,99.9%,Monopoly
A8,A8 — Oakmont - Erin Ridge - Sturgeon Hospital,8.94,2.55,0.1%,99.9%,Monopoly
A9,A9 — Sturgeon - Kingswood - Woodlands,11.24,4.54,0.5%,97.7%,Monopoly
L1,1 — Leduc - Nisku - Edmonton,36.51,23.26,23.3%,53.1%,Monopoly
L10,10 — Leduc - Nisku - Eia,37.21,29.14,25.2%,55.0%,Temporal
