Route ID,Name,Mean Score,Robustness (Rr),AB Stability (%),DE Stability (%),Primary Driver
401,401 — Ordze - Downtown,50.35,15.03,42.9%,9.5%,Opportunity
403,403 — Ordze - Government Centre,54.11,14.05,57.1%,0.0%,Opportunity
404,404 — Ordze - University Of Alberta,57.48,17.37,66.7%,0.0%,Opportunity
411,411 — Bethel - Downtown,44.64,12.93,23.8%,14.3%,Opportunity
413,413 — Bethel - Government Centre,51.97,12.05,47.6%,0.0%,Opportunity
414,414 — Bethel - University Of Alberta,42.15,9.3,14.3%,9.5%,Opportunity
415,415 — Bethel - Nait,46.59,0.98,0.0%,0.0%,Opportunity
420,420 — Bethel - Millennium Place,4.68,0.94,0.0%,100.0%,Opportunity
430,430 — Bethel - Emerald Hills,17.29,2.95,0.0%,100.0%,Vulnerability
431,431 — Bethel - Emerald Hills,16.36,2.66,0.0%,100.0%,Vulnerability
432,432 — Bethel - Summerwood,7.14,0.35,0.0%,100.0%,Opportunity
433,433 — Bethel - Clarkdale,8.5,0.35,0.0%,100.0%,Vulnerability
433A,433A — School Special,22.86,6.89,0.0%,81.0%,Vulnerability
440,440 — Bethel - Heritage Hills,8.94,0.71,0.0%,100.0%,Vulnerability
441,441 — Bethel - Ordze - Regency,10.61,1.04,0.0%,100.0%,Vulnerability
441A,441A — Bethel - Regency,20.82,5.27,0.0%,90.5%,Vulnerability
442,442 — Bethel - Nottingham,6.68,0.4,0.0%,100.0%,Opportunity
443,443 — Bethel - Ordze - Glen Allan,12.84,2.46,0.0%,100.0%,Vulnerability
450,450 — Bethel - Centre In The Park,7.23,0.28,0.0%,100.0%,Opportunity
451,451 — Bethel - Ordze - Woodbridge,12.87,1.63,0.0%,100.0%,Vulnerability
500X,500X — Meadows - Macewan,54.53,12.94,61.9%,0.0%,Opportunity
501,501 — Davies - Capilano,56.51,9.92,81.0%,0.0%,Opportunity
502,502 — Davies - South Campus,9.46,2.33,0.0%,100.0%,Opportunity
503,503 — Davies - Millbourne - Woodvale,9.45,0.77,0.0%,100.0%,Opportunity
504,504 — Meadows - Davies,7.24,0.87,0.0%,100.0%,Opportunity
506,506 — Davies - Meadows - Maple,46.35,8.86,38.1%,0.0%,Vulnerability
507,507 — Tamarack - Southgate,11.09,0.92,0.0%,100.0%,Opportunity
508,508 — Meadows - Mill Woods,84.95,3.65,100.0%,0.0%,Vulnerability
509,509 — Mill Woods - Millbourne,15.57,1.63,0.0%,100.0%,Opportunity
511,511 — Mill Woods - Downtown,79.38,6.79,100.0%,0.0%,Opportunity
512,512 — Mill Woods - South Edmonton Common,20.23,1.3,0.0%,100.0%,Opportunity
513,513 — Mill Woods - Knottwood,45.25,0.94,14.3%,0.0%,Vulnerability
514,514 — Mill Woods - Millhurst,29.63,0.3,0.0%,52.4%,Opportunity
515,515 — Mill Woods - Meadows,91.56,3.27,100.0%,0.0%,Vulnerability
516,516 — Mill Woods - Laurel - Meadows,97.72,0.83,100.0%,0.0%,Vulnerability
517,517 — Mill Woods - Southwood,66.53,3.33,100.0%,0.0%,Vulnerability
518,518 — Mill Woods - Century Park,95.33,2.68,100.0%,0.0%,Vulnerability
519,519 — Mill Woods - Century Park,93.94,4.54,100.0%,0.0%,Vulnerability
521,521 — Mill Woods - Century Park,78.77,9.2,100.0%,0.0%,Vulnerability
522,522 — Capilano - Bonnie Doon,40.31,6.07,0.0%,0.0%,Opportunity
523,523 — Mill Woods - Downtown,77.31,9.63,100.0%,0.0%,Opportunity
524,524 — Bonnie Doon - Holyrood,15.59,4.07,0.0%,100.0%,Opportunity
525,525 — Bonnie Doon - Ritchie,13.88,4.31,0.0%,100.0%,Opportunity
526,526 — Mill Woods - Millbourne Woodvale,32.31,0.26,0.0%,0.0%,Vulnerability
527,527 — Mill Woods - Millbourne,81.79,3.83,100.0%,0.0%,Vulnerability
540,540 — Beaumont To Edmonton,24.64,0.37,0.0%,100.0%,Vulnerability
560,560 — Spruce Grove - Downtown Edmonton,23.98,6.99,0.0%,76.2%,Vulnerability
589,589 — Edmonton Waste Management Centre - Coliseum,19.06,0.44,0.0%,100.0%,Opportunity
