DAUID,low_income,minority,total_pop,total_pop_census,seniors,lone_parent,recent_immigrant,youth_15_24,visible_minority,low_income_lim
48111097,200.0,470.0,903.0,903.0,22.7,70.0,245.0,75.0,470.0,305.0
48111098,80.0,50.0,514.0,514.0,15.5,35.0,0.0,10.0,50.0,50.0
48111099,55.0,50.0,423.0,423.0,14.3,25.0,20.0,0.0,50.0,25.0
48111100,70.0,95.0,495.0,495.0,14.1,25.0,30.0,10.0,95.0,25.0
48111101,70.0,75.0,519.0,519.0,13.5,30.0,40.0,20.0,75.0,35.0
48111102,120.0,160.0,607.0,607.0,19.8,30.0,30.0,30.0,160.0,40.0
48111103,75.0,115.0,536.0,536.0,13.1,40.0,55.0,15.0,115.0,40.0
48111104,85.0,80.0,562.0,562.0,14.3,30.0,0.0,10.0,80.0,35.0
48111106,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
48111107,190.0,685.0,1341.0,1341.0,14.2,55.0,230.0,135.0,685.0,95.0
48111108,120.0,260.0,643.0,643.0,18.6,30.0,90.0,35.0,260.0,50.0
48111109,115.0,135.0,650.0,650.0,17.7,50.0,30.0,20.0,135.0,50.0
48111110,110.0,170.0,601.0,601.0,17.5,25.0,90.0,25.0,170.0,45.0
48111111,70.0,445.0,957.0,957.0,7.3,65.0,240.0,85.0,445.0,155.0
48111113,90.0,170.0,536.0,536.0,16.8,30.0,70.0,40.0,170.0,20.0
48111114,85.0,50.0,570.0,570.0,14.9,50.0,0.0,10.0,50.0,70.0
48111115,310.0,130.0,955.0,955.0,54.5,30.0,40.0,30.0,130.0,75.0
48111116,65.0,250.0,740.0,740.0,8.1,60.0,150.0,20.0,250.0,80.0
48111117,80.0,135.0,518.0,518.0,14.4,35.0,25.0,35.0,135.0,70.0
48111119,220.0,75.0,877.0,877.0,25.6,50.0,20.0,45.0,75.0,50.0
48111124,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
48111125,100.0,55.0,476.0,476.0,21.1,20.0,30.0,15.0,55.0,30.0
48111126,75.0,55.0,429.0,429.0,16.3,25.0,25.0,0.0,55.0,35.0
48111127,80.0,145.0,527.0,527.0,16.0,40.0,90.0,25.0,145.0,80.0
48111128,80.0,140.0,524.0,524.0,15.4,30.0,60.0,35.0,140.0,45.0
48111129,40.0,130.0,405.0,405.0,11.1,35.0,50.0,10.0,130.0,65.0
48111130,60.0,210.0,552.0,552.0,10.8,30.0,95.0,30.0,210.0,70.0
48111131,65.0,255.0,593.0,593.0,10.9,55.0,165.0,35.0,255.0,105.0
48111132,85.0,260.0,635.0,635.0,13.4,40.0,85.0,25.0,260.0,90.0
48111133,60.0,175.0,393.0,393.0,13.9,25.0,60.0,10.0,175.0,70.0
48111134,40.0,125.0,483.0,483.0,10.3,45.0,60.0,20.0,125.0,105.0
48111135,35.0,230.0,513.0,513.0,6.8,25.0,95.0,20.0,230.0,165.0
48111136,105.0,175.0,434.0,434.0,24.1,20.0,70.0,35.0,175.0,160.0
